s	-0.84610706930751223770657615068412149448191241410164753090853056114906360154019991955367852609766202327912269536179194428165713486976024300172891295813114336	2.02838315127476047655882213263720063441512166214702141721215110124921327764561836153719116410206298628228558055226062934967264234115033647199890058005060346
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
52	1.3123115022883622629807903695838154228363510138391427113697514880036709075268469672086103298809528861145412058131737756077378726164926e-25	4.084357908456483437139815048056174864738921809179592172072486119146566490522661904386172117828008620850884538975833411933814722563383e-25
53	5.221048673972983400429902368952218990851143374383225436701332314012498065432923996829512424794382343164735305274383700610330299484611e-25	7.11858774020467593412222692189447996969363626459616999002782751929050210851548063873986283808613040349646361965411054871560877099507e-27
54	-2.5569239063694048231401739301307946346372326402931969883145674594445013623727227031372573483019885697364143145871210755811117058499561e-25	8.605857827236326998397743959223842950394450850179263280336209787057398055145577595586497509357915935676885457116080711258393856925084e-26
55	8.23400251236107524718069187519156418758566000253911223002853236735855143032217575033247055358092330436409344345121039547537618358223e-27	-6.968373134135291444650587809720016442056521969326385261623055050050740030082412117209012861000059848233201355390304390925603517328104e-26
56	5.828217333551735803551491502193564694381801037453711733521109649805908982273556415505800871582599109467942697915414993485276782726348e-26	-3.952286425925336520265155350992103314176368600446962518074281749149857058382663044664965084632760872568281314384815082171066657529025e-26
57	-5.458989343856695530199276726521724115112952849796227739726456653544329987871371068361570799854100137854003904225039648405699732186864e-26	1.323208318700299157733252941009633433982624985329103860504676036114019228732481103991032750435212076582378037840471958705315915054905e-26
58	1.19577736012459124089426275453554114606766081964919069490234872271401931614811666854716057877996232982493946134906114463731755358389e-26	-6.6447539503778791159047657280342495193814937846054548096860192715717227735240415978692073977620412500239161942143742168766457626775e-27
59	9.29625588651979108628389428324151602896777956011685881379067446344662597681701331587900847038741307120199194077177089917089671565771e-27	7.6151833416489629499528394291478027640810748575442817101424344948097868466279975770549056431915183600941092592152621998552608021754e-28
60	-9.29703800592356820247216540496294325883187872254074761933637874448617533611570248425240695010502078464218883475199924628668715622846e-27	4.49126861061294926357149592148834443068769404458415098020463261197121373223579134699159923661631922338001141341220390024395980420005e-27
61	3.9679316508604608862030753986555811122257639401959149557264759264914140844367810692899460745629688455505656381412853554678046483176e-27	-1.62691544174745995498082661913670180665856174495767548931410192466002682091487667788461411072344756801777930088382978413323473897122e-27
62	5.6662801719518751950853163772445178653176259678478169706569774037849473307717037652098966951191844991330483200637717596122087841254e-28	1.3086770738978778971407889192827656499417201186274753048677454455971273345291557987906012028199061164167764546302937257413285268261e-28
63	-1.70823152510408002910461629385219893340423289706373142769949241944672074600862277068417950019989293741431956724794389812378854378687e-27	4.4101915109498458936083550764155644731017206352465086825198090091058439299301679147027664624920843061392888946165077281863450074836e-28
64	9.8574491673678319296823366028157966062032148092002543122092566023835386201876944497341263885652249519171814847416873478725077812891e-28	-4.8757812528016058114082136227553994110073703875736563613110013211928110065112183071884591903350395092361404130843832787069984344076e-28
65	-1.5593224512655264896249597631933384259271214945791013597002169369004168711435325242368000126386345948684558836903759902842912713244e-28	9.851708930202947169489977100726913125977931422498836081606082480966601496651509455395270220372539184693924240341465941625353617532e-29
66	-2.4535150142308474182216259595631285417831033218537415776287818694035326287206582088205728437361654708942016937202819275765588806756e-28	7.328131134249150901904812234175784140492778924074369720696936637634539290836859450349133420047004429136110129546203559201000318118e-29
67	2.3453195229011589602007365419398232757558679353576661202962423374874071976914418494233242229362808487240680326445904583877562450347e-28	-7.630999099143863372382371886423950836838526696146745130707304726120020874911995693150791840056892852674544613191517555475582068295e-29
68	-7.870305190573846112273667492133191336416392411792769396098819575014521226587233398313065080449334869206374068271457437216008313358e-29	3.162457790221326241488682228263075486652305155226558173440184082110760192104491232648938352862395108787965302985177530967099069278e-29
69	-2.711406023545794601987364977474998554718848455405136787385927573735786477968178575794795058341152780580815787508249731781726216064e-29	3.51340145136671108424136337924777225482729247580901600433154186785116493004070862413526325121334111233991421220071679210237435266e-30
70	4.601623226095498505220009368547710952024065309184580847037912961318746208351551172836726863135431792298384803920506545633555111833e-29	-7.05320026331460387131019036294798345918553089248802342405984719834814295604792735521291756983669525562864262661925156646736719285e-30
71	-2.014943066279988548983953900644485571143930584881034362668024723101086059804355443417344369646635404094694273487268818611495662238e-29	4.16835638790308357632497374341655922355661498228690357678098709229321311642618067365765718228881564485711605402146068305114738217e-30
72	-1.96856479237646828274175436848006980871381672184656211759302127456738204562441263771947289636612309195825004554836324959459540792e-30	-4.46554472791516327768242584231213343291090212559393353832210200126100571461168374806777474459357630240318897453723434603363945457e-30
73	5.86359839251108833966444406997705744508453371424119003726626146758068740743431710239588562426814968933864194773528595103713272347e-30	2.73750635089435797866588693661657314011348034170250208397441793029260347511622137683356341724676941961555848810104087550499708015e-30
74	-2.17752089094606538356899516072122965241599635226175697106399278935529770998410130259472045562521073338138132077160910788326372407e-30	1.51915407535835521988544453678611014278437662369871852865609872558854043291313536131341564398046249665399574008498392077179495753e-30
