s	-1.893739517016341665983638444144885628475014674244183303912052567496352772207434142969100349982064891339763604988358607158803526238454879776685815552482381	-0.414946124659005446033255574330787247139745875274512949335553100798549590936647502400807356305211894780849588233615173087683677897364036058528092180692213
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
17	1.47826792546773096400155840655415292712825561970438539878967781876033949784992768027806059345461326138693522525338578417578634359595331796057082978e-6	2.59604236164317227632179523161193806816276899261283856615071974810814004991327366703252398952830167879659761240498554124565771399158726298014260964e-6
18	3.3174042950791686317875717121907830275345560763780591223249358958600528293141569311459109167451759018146617675593058119074902857864619418087492683e-7	8.463105947051226880966391730862456481465470363223165663227508315614195926954218193808371029616032227277076242815623797834441097492174577347178644e-7
19	5.699899177040473560202260789795564509432601987790065006931665225344790442164832746676474576479872037900300087716487519474904505170167687199211737e-8	2.5644830537562883451224443863493559095185248821755306182856607219180040581923969801981572702378688727993973801408849710162575401764240211219593722e-7
20	3.79272963386530632230642614302462902814868603826149865550684766212900681533950038362081878576820338875266390614763605735388916671824622006668966e-9	7.279319591956408633214628222987772898633319144748599440724913935122520151857400329653199782281301769685611873631809862574626065786570021031790456e-8
21	-2.34435578780593314058322322623216157025461088530750364561849792461525359420052970993241435097827020301898701448241470065004215881708951991508371e-9	1.94673617610548110128823844703661876571551941312495181211991891739312870990074773665129663569640985698946201961918881510560290747883786678760524e-8
22	-1.44291294833785066698190928693281256337945172428442177611759673741098298506499044988408873771951599179443221239421046802004276202028080996518353e-9	4.917690101558788474077774840885766782871391619184621289556405474520282527747532510062502272815926052926999605967138801431081509438167551871223e-9
23	-5.4495066313847290494120239441995791903997094892706822245897759036048535626962416792035051298462876342609012383972898604349783758488714362329274e-10	1.17069047818409743736206330681408983192382737071738245513249755949929349609551246450381053806012001874734444125420091651123097804688842789652404e-9
24	-1.674531100830921894411684989395291740160231572973086177505819413042237295177560344115263056533886115614677089742271741117910529032784056192977e-10	2.6022171757224076377893953711803366017248631489000979356028939741147941370220542167173403286248748937055757692944920052271739198978765557233498e-10
25	-4.537424234585244274490760785544677180943262550872209806697438689015032827952271650801774617369195216314335196808329169804927575608282511340841e-11	5.301328406779617181754098786781712989357433091775818281221326416826761220021403192994447118278039229673908145445921679947216248062815371125669e-11
26	-1.13503822512504479414822839941551684117575079876335062232985574282212914569164670148620372013575275756350276980632791162077361697624019726661e-11	9.58435351465724072567574936254389200730314617086590850849845878720853921107629415930869719448417595968269184511167398190020088222417949659233e-12
27	-2.72232844356559308162015657816570696411136610560128576526410175712152609106491667173765659997133668547426466633318568403463194122494572284112e-12	1.45398806904077899676761697195143580315203353714629259252685780908525387069165397517681703823320466112815735316788778662459683934501958172085e-12
28	-6.4323347221843394657805735188783681290373414244514423648417177069767611520971573488120692164224225850464215391845328395146775000461201913829e-13	1.6619988314076066505656597304059064995924880183365582065680495113110859182573895525776354560545650492136668564982631822575521168368731547017e-13
29	-1.4960576070486407954686202960582556837871074929903133301568277937482273867944274817181990310047245118893476461297460845142336658466658625001e-13	1.144946762051585183642155652236058293876596962857952586550106516976776878209653602436193375911120975662422045235556077788926952240074165619e-14
30	-3.284742974520264940369770437831724152453147687499925060680412082861843419551993390365911989801506443519730659812662483642864884198514746427e-14	9.0527220751268172798378455736270266118219391589862066806055318987186121444160583070375317228434728400814375910667297347818061110336486336e-16
31	-6.23356396696472065529151271844626714156534921162705008392455648423241241121541349305982110773859990341765584186555816172108954213298020712e-15	6.8615051218230727824626741061446113395841478924442102484563305915720323654264391915655453385088301732211543695030242891156376900064836708e-16
32	-8.4485780189922631325693323392906258039032338878983783888530094241235597248626437973205883446417331164982701630537522198069125332858452809e-16	2.7922797996241759496296647688250697031308043557466850229182509165193777656870535513613753693856415571308147138010749266768984517802961907e-16
