s	-0.58801233459500310947949600201737942196639978059092993013238364113041542636467947319277097931297444597319650276133979376995835121301788549956921365380597520	1.40296064781598375056510712652031271921980638763463817629966138455112259330518937584554890002032444911846359493420151979202226430537330169611322933242695563
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
17	9.803864378830824480407156087174325753305798228349143182179887441558651219441363296479832942981452913915674937410398999313570665237244528510761868e-12	1.12108745586904474416753271002644223700933328465763651859740768428627549795514156748009256983177773180328335891302280501979432390152227233453757e-13
18	-1.755968900183526365560283206794773096542297704028339220446113189046261346723460598945463616531770250783073489736138324038742215405614129068142247e-12	-2.53245447245583054738882122312026115700561303398747125001523336568281019297999606956678491608708363086943820626539358070357844500531543573533696e-12
19	-2.519045781331143688226703882690212783491926364758265868853895908255621548030661079595630329364913848707611707856170154019303297164131645223472731e-12	-1.928027086695284757697277845571512880406980710852684714069858566684634286442896754576177848309077161744769132437445199820081121804705663819903925e-12
20	-1.284320941650278836100235945886066873585243584287120120905849123266904698307863843541608417488550528751318372482776226141298835441387025709938376e-12	-6.93872146988156179021285420847489059748249535753954846778416183553250333968989772879041333855428124706251652569126013008800668714671420258509989e-13
21	-3.82135179668470321210567790002461653721967599580442238204115822804416444466778595274042190034769174572861532423377740689913159239687040706406713e-13	-1.5916081865172544206727184917282982546347726198918729355382630253027599366093943480815040717287502887214860784251191144563302937130766668616112e-14
22	4.7430979535408999481511935082729972683370787531267563965646654328629998490162199188655983615983065884181526242423898451707340996687998673439083e-14	1.1146727184136864432833366989462733556632541138955169763542747702005381250717695790725879703990011208531226877824064155192841177645287605049641e-13
23	1.1680921329708817314707776953754491246332328511260042685703170021042031869164524961905720901658828350320421332160388851154931862978467540729494e-13	6.997504182435744472773055755286077104509733457291673087142968916082826718316287861428524904827846575414442947575556236099164892750492335798694e-14
24	5.2890735798803565048740733763729905589305386333908904927514443315720163697286759242826918978939265186015991257250241635567964492402967168912166e-14	2.8273112094022992669187857210055481456104201405685281433215705204689859227420996471335558229988669430705776612321097307760399761515103990769349e-14
25	9.041689918511298464688514842838763292714103006281113317152803000277397912595752047631134429194749488371029928868053578858917737938770409002967e-15	3.585513836887806515388977634017706913193048914387034769948764725904141112168140175839347754607673514546550883543635445734202253211571223545104e-15
26	-2.53480042766614654433643258031824228250914966066595862605781350754049231251712729863569229312329268429796128251489334975067274287415197986253e-15	-4.897521244367630262949660692421899190643939142169984245047248598311585204929352910159134554100803877969565833209406882244786103734234858980077e-15
27	-3.953161001748832006009609410048380458590739508719627243129827245956041762373174145857676104529156558993494132839711968581687176631931477163936e-15	-3.444367260740625007839518171009733792256749176621781815168690854087369263034970255630156389481645652632423200911132745790731347408257457567338e-15
28	-2.343132151063017852725143135301860596140273525342835524781489740572095772583575617729716279748817005224639598201464309133741950770062577854705e-15	-1.011115599788983037906860608759315667620567538800793182918110187445063637983387103277539236691365263924965243842696858147275214337480847100854e-15
